response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.1099,0.0006,0.0000,0.0002,5.1090,0.0001,200,0.0002
5.0116,0.0000,0.0000,0.0000,5.0114,0.0001,200,5.1101
4.9154,0.0000,0.0000,0.0001,4.9153,0.0001,200,10.1217
4.9153,0.0000,0.0000,0.0000,4.9152,0.0001,200,15.0372
4.7664,0.0000,0.0000,0.0000,4.7662,0.0001,200,19.9525
5.0643,0.0000,0.0000,0.0000,5.0642,0.0001,200,24.7189
4.6349,0.0000,0.0000,0.0000,4.6348,0.0000,200,29.7832
4.8900,0.0000,0.0000,0.0000,4.8899,0.0001,200,34.4181
4.9145,0.0000,0.0000,0.0000,4.9144,0.0000,200,39.3081
4.9164,0.0000,0.0000,0.0000,4.9163,0.0000,200,44.2226
